pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;isParent;addClass
Прогноз;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Налоги;0.4;0.7;+0.3;млрд. руб;;;;;;;;;;child;
Прогноз;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;3.2;2.3;-0.9;млрд. руб;;;;;;;;;;child;prop_click
Прогноз;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Персонал ;36.4;32.5;-3.9;млрд. руб;;;;;;;;;;child;staff_click
Прогноз;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Прочее;1.5;2.2;+0.7;млрд. руб;;;;;;;;;;child;
Прогноз;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Аллокация;н/д;н/д;н/д;млрд. руб;;;;;;;;;;parent;allokaciya_click
Прогноз;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;ДЗО;3.8;4.1;-0.3;млрд. руб;;;;;;;;;;parent;
Прогноз;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;11.1;11.6;+0.5;млрд. руб;;;;;;;;;;child;
Прогноз;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;9.8;10.2;+0.3;млрд. руб;;;;;;;;;;child;staff_click
Прогноз;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;0.1;0.2;+0.1;млрд. руб;;;;;;;;;;child;
Прогноз;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ИТ;0.1;0.1;0.0;млрд. руб;;;;;;;;;;child;
Прогноз;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Налоги;0.1;0.2;+0.1;млрд. руб;;;;;;;;;;child;
Прогноз;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;0.9;0.5;-0.4;млрд. руб;;;;;;;;;;child;prop_click
Прогноз;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прочее;0.1;0.4;+0.3;млрд. руб;;;;;;;;;;child;
Прогноз;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;23.9;н/д;н/д;млрд. руб;;;;;;;;;;parent;allokaciya_click
Прогноз;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;1.1;1.1;0.0;млрд. руб;;;;;;;;;;parent;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
