pfp;block;year;quart;tile;category;data1;data2;data3;mera;arrow1;color1;proc1;text1;arrow2;color2;proc2;text2;isParent;addClass
План;КБ;12018;12018;Факторы изменения1;Централизация;9.6;9.9;+3%;;;#61db96;;;;;;;parent;
План;КБ;12018;12018;Факторы изменения1;Факт 3М'18;5;9.9;9.9;;;#6EC7F7;;;;;;;parent;
План;КБ;12018;12018;Факторы изменения2;Факт 3М'17;60;76.8;76.8;;;#dfdfdf;;;;;;;parent;
План;КБ;12018;12018;Факторы изменения2;ЦА;76.8;79.1;+33.8%;;;#6EC7F7;;;;;;;parent;
План;КБ;12018;12018;Факторы изменения2;ПЦП;79.1;83.0;+21.3%;;;#6EC7F7;;;;;;;parent;
План;КБ;12018;12018;Факторы изменения2;ТБ;83.0;83.4;+1.3%;;;#6EC7F7;;;;;;;parent;
План;КБ;12018;12018;Факторы изменения2;ВСП;83.4;84.7;+6.4%;;;#6EC7F7;;;;;;;parent;
План;КБ;12018;12018;Факторы изменения2;Факт 3М'18;60;84.7;84.7;;;#dfdfdf;;;;;;;parent;
План;КБ;12018;12018;Динамика расходов на персонал;2016;н/д;н/д;;;;;;;;;;;parent;
План;КБ;12018;12018;Динамика расходов на персонал;2017;36;35;;;;;;;;;;;parent;
План;КБ;12018;12018;Динамика расходов на персонал;2018;14;38;;;;;;;;;;;parent;
План;КБ;12018;12018;Динамика расходов на персонал;2019;0;н/д;;;;;;;;;;;parent;
План;КБ;12018;12018;Динамика расходов на персонал;2020;0;н/д;;;;;;;;;;;parent;
Факт;КБ;42018;42018;Показатели;Соблюдение<br>лимита на оплату<br>труда по Блокам;;;;;;;;;;;;;parent;
Факт;КБ;42018;42018;Показатели;Среднемес. норм. доход<br>на 1 сотрудника;105.2;;;тыс. руб;;;;;;;;;parent;
Факт;КБ;42018;42018;Показатели;Средний разряд<br>Москва;11.1;;;;;;;;;;;;parent;
Факт;КБ;42018;42018;Показатели;Средний разряд<br>Регионы;8.9;;;;;;;;;;;;parent;
Факт;КБ;42018;42018;Показатели;Фактическая численность;21;;;тыс. чел;;;;;;;;;parent;
Факт;КБ;42018;42018;График соблюдение лимита;;0;1;;;;;;;;;;;parent;
Факт;КБ;42018;42018;КР на персонал;Персонал;38.0;36.5;+4.1%;;;;;;;;;;parent;
Факт;КБ;42018;42018;КР на персонал;Расходы на персонал;37.7;35.4;+6.5%;;;;;;;;;;parent;
Факт;КБ;42018;42018;КР на персонал;Зарплата и премия;18.7;17.3;+8.1%;;;;;;;;;;parent;
Факт;КБ;42018;42018;КР на персонал;Налоги на зарплату;6.3;6.9;-8.7%;;;;;;;;;;parent;
Факт;КБ;42018;42018;КР на персонал;Резервы на вознаграждения за год;6.3;5.2;+21.2%;;;;;;;;;;parent;
Факт;КБ;42018;42018;КР на персонал;Долгосрочные обязательтва Risk-takers;н/д;н/д;н/д;;;;;;;;;;parent;
Факт;КБ;42018;42018;КР на персонал;Резервы на квартальное премирование;6.3;5.9;+6.8%;;;;;;;;;;parent;
Факт;КБ;42018;42018;КР на персонал;Расходы социального характера;0.3;1.1;-72.7%;;;;;;;;;;parent;
Факт;КБ;42018;42018;КР на персонал;Выплаты при увольнении сотрудников;0.2;0.4;-50%;;;;;;;;;;parent;
Факт;КБ;42018;42018;КР на персонал;ДМС;0.1;0.3;-66.7%;;;;;;;;;;parent;
